Name,type,Category,Section,River Mile,Description,lat,long,Address,City,State,Zip,photo
Steamboat Creek Landing,Public-Landing,Public Landing,Coastal,N/A,,32.602167,-80.293033,,,,,
Toogoodoo Creek Landing,Public-Landing,Public Landing,Coastal,N/A,,32.688799,-80.296267,,,,,
Cherry Point Landing,Public-Landing,Public Landing,Coastal,N/A,,32.59805,-80.182767,,,,,
Livingston Landing,Public-Landing,Public Landing,Coastal,18,,33.401167,-80.8686669,,,,,
Hwy 21 Private Landing,Private-Landing,Private Landing,Main Stem,105,,33.177343,-80.802589,,,,,
GP Landing,Private-Landing,Private Landing,Main Stem,91,Private dirt ramp,33.123738,-80.683189,,,,,
Pou’s Landing,Public-Landing,Public Landing,North Fork,15,Public or Private?,33.376,-80.874833,,,,,
Confluence of North and South Forks,Point-of-Interest,Point of Interest,Main Stem,,,33.264076,-80.887091,,,,,
Upstream End of South Fork,Point-of-Interest,Point of Interest,South Fork,104,,33.7894609,-81.753171,,,,,
Hog Pen Landing,Public-Landing,Public Landing,South Fork,47,Public or Private?,33.45535,-81.26552,,,,,
Stokes Bridge,Private-Landing,Private Landing,Main Stem,74,,33.061277,-80.525933,,,,,
"Highway 21 Landing (at Road 21 bridge, east of Aiken)",Public-Landing,Public Landing,South Fork,,,33.530873,-81.725559,,,,,
Orangeburg Regional Medical Center,Hospital,Hospital,,,,33.540232,-80.8328317,,,,,
Colleton Medical Center,Hospital,Hospital,,,,32.9234165,-80.6719868,,,,,
Aiken Regional Medical Center,Hospital,Hospital,,,,33.630959,-81.9541811,,,,,
